,title,rating,review_num,price
134,Tonys Di Napoli - Midtown,4.5,5459,$$ - $$$
135,Mermaid Oyster Bar,4.5,217,$$ - $$$
136,Johns of Bleecker Street,4.5,1566,$$ - $$$
137,Emporio,4.5,482,$$ - $$$
138,Hillstone,4.5,563,$$ - $$$
139,Fried Dumpling,4.5,163,$
140,Shake Shack,4.5,7216,$
141,Jongro BBQ,4.5,310,$$ - $$$
142,Dean Deluca,4.5,267,$$ - $$$
143,Black Iron Burger,4.5,223,$$ - $$$
144,Il Corso,4.5,813,$$ - $$$
145,Cuba,4.5,411,$$ - $$$
146,Orso,4.5,397,$$ - $$$
147,Amandas,4.5,301,$$$$
148,Maison Premiere,4.5,284,$$ - $$$
149,Blue Ribbon Brasserie,4.5,341,$$ - $$$
150,Tanner Smiths,4.5,311,$$ - $$$
151,Gato,4.5,598,$$$$
152,The MasalaWala,4.5,369,$$ - $$$
153,Jacks Wife Freda,4.5,757,$$ - $$$
154,Times Square Diner,4.5,1679,$
155,Trattoria Trecolori,4.5,2367,$$ - $$$
156,Dirt Candy,4.5,289,$$ - $$$
157,Eleven Madison Park,4.5,2262,$$$$
158,La Masseria,4.5,1686,$$$$
159,Market Table,4.5,424,$$ - $$$
160,La Grenouille,4.5,801,$$$$
161,Forlinis Restaurant,4.5,665,$$ - $$$
162,Jean Georges,4.5,1831,$$$$
163,Fornino,4.5,217,$$ - $$$
164,Giorgios of Gramercy,4.5,225,$$ - $$$
165,Eds Lobster Bar,4.5,641,$$ - $$$
166,Aurora SoHo,4.5,337,$$ - $$$
167,Keste West Village,4.5,973,$$ - $$$
168,Lukes Lobster East Village,4.5,667,$$ - $$$
169,Beyond Sushi,4.5,125,$$ - $$$
170,Tomoe Sushi,4.5,335,$$ - $$$
171,Il Gattopardo,4.5,640,$$$$
172,The Capital Grille,4.5,337,$$$$
173,Peacefood Cafe,4.5,300,$$ - $$$
174,Ribalta Pizza,4.5,607,$$ - $$$
175,The Grey Dog,4.5,470,$$ - $$$
176,Hakata Ippudo NY,4.5,571,$$ - $$$
177,Veselka,4.5,843,$$ - $$$
178,Blossom Vegan Restaurant,4.5,590,$$ - $$$
179,Joes Pizza,4.5,317,$
180,Pylos,4.5,360,$$ - $$$
181,Lukes Lobster,4.5,304,$$ - $$$
182,Margon,4.5,151,$
183,Joes Pizza - Carmine St,4.5,1235,$
184,Mogador Cafe,4.5,495,$$ - $$$
185,Hells Kitchen,4.5,264,$$ - $$$
186,The Cuban Restaurant and Bar,4.5,209,$$ - $$$
187,Pisticci Restaurant,4.5,230,$$ - $$$
188,53rd & 6th Halal,4.5,613,$
189,Feinsteins/54 Below,4.5,287,$$ - $$$
190,Raclette,4.5,292,$$ - $$$
191,Masseria Dei Vini,4.5,489,$$$$
192,Il Melograno,4.5,237,$$ - $$$
193,Blind Tiger Ale House,4.5,274,$$ - $$$
194,Da Marino Restaurant,4.5,2051,$$ - $$$
195,Carmines Italian Restaurant - Times Square,4.5,10272,$$ - $$$
196,Red Cat,4.5,547,$$ - $$$
